video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=fq6jDxJk1LM&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@wsj,The Wall Street Journal,"The Business Strategies Behind Chick-fil-A, Costco, Starbucks and More | WSJ The Economics Of",7.2M,8 months,"What are some of the strategies of the most successful businesses around the world? From Chick-fil-A and Starbucks, to Ikea and ...",2024-01-26 19:31:34.524495
/watch?v=Fp8IGyNES98&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@CBSMiami,CBS Miami,Starbucks To Raise Prices,107,7 years,New prices go into effect July 12th.,2024-01-26 19:31:34.530501
/watch?v=vZDKnvUz1lU&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@KPRC2Click2Houston,KPRC 2 Click2Houston,Your Money Report: Starbucks raises prices again,24,5 years,VANESSA LIVE IN NEW YORK WITH DETAILS ON WHAT IT'S GOING TO COST YOU. >> THAT'S RIGHT STARBUCKS HAS ...,2024-01-26 19:31:34.534276
/shorts/TCvkxRnk4r0,/@TheManniiShow,The Mannii Show,Ordering a Coffee at Starbucks #TheManniiShow.com/series,16M,1 year,INFLUENCER LIFE behind-the scenes!! @TheManniiShow Weekly Series! Follow MJ for a behind-the-lens look into the life of an ...,2024-01-26 19:31:34.543457
/shorts/LLH574ps0L0,/@rosiering,RosieRing,Starbucks Freakout In NYC,62K,6 months,nyc #publicfreakout #caughtoncamera #newyork #shorts #viral #youtube #video.,2024-01-26 19:31:34.549584
/watch?v=i3wFz8MvRrM&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@abanusanews6640,Aban Usa News,UNREASONABLE! WHY IS STARBUCKS RAISING THE PRICE OF THEIR COFFEE?,12,5 years,"Starbucks Raises Price of Its Coffee Starbucks raised its prices in coffee cups by 10 to 20 cents this week, and the rise comes in ...",2024-01-26 19:31:34.553086
/watch?v=3DEg3ThrH7U&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@CBSDFW,CBS TEXAS,Starbucks Raising Price Of Brewed Coffee In Most U.S. Stores,232,5 years,"It doesn't matter if you get the tall, grande, or venti -- your Starbucks habit just got a little more expensive. Matt Yurus reports.",2024-01-26 19:31:34.559547
/shorts/6OpkIAlGJ58,/@heyitshoneysuckle,Hey It's Honeysuckle,Testing the new Starbucks Olive Oil Coffee 💩,3.7M,9 months,Want me to try your Gadget? Send your tool or gadget to this address for a chance of having it on a video! Dzung Lewis ...,2024-01-26 19:31:42.522072
/shorts/2UNdz19ah2o,/@morocooks,morocooks,Homemade Iced Matcha Latte VS Starbucks (1/8 the price!),2.4M,10 months,... replicate that unique Starbucks taste fill a glass with a lot of ice and a cup of your preferred milk I used almond milk which comes ...,2024-01-26 19:31:42.525513
/watch?v=Vf-Z2gpAyJg&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@CNNBusiness,CNN Business,Starbucks' coffee price pressure,148,12 years,Starbucks CEO Howard Schultz is worried about soaring coffee prices cutting into the coffee chain's bottom line.,2024-01-26 19:31:42.528550
/watch?v=JjoZW0eDHTA&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@littlelovejazz,Little Love Jazz,"New York Starbucks Cafe Ambience - Instrumental Jazz Music Inspired by Starbucks for Work, Studying",665,4 months,"New York Starbucks Cafe Ambience - Instrumental Jazz Music Inspired by Starbucks for Work, Studying ☕ Discover the Little ...",2024-01-26 19:31:42.533753
/shorts/u-hEfjgGgpo,/@MariaMarmora,Maria Marmora,starbucks reserve roastery nyc🥰 #shorts #starbucks #coffee,3.1K,10 months,If you're in New York City visit the Starbucks Reserve Roastery they have a unique menu and offer a great experience for coffee ...,2024-01-26 19:31:42.536648
/watch?v=tuEEH0ckrLM&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@jazzbossacollection7548,Jazz & Bossa Collection,"Starbucks Music Playlist 2024 - Best of Playlist Starbucks Coffee Music For Study, Work",1M,10 months,Listen to our relaxing and soothing Starbucks music playlist to help you get through your studies or work tasks with ease.,2024-01-26 19:31:42.539498
/watch?v=icwyDceT7zM&pp=ygUlc3RhcmJ1Y2tzIHByaWNlcyBpbmNyZWFzZSBpbiBuZXcgeW9yaw%3D%3D,/@kens5,KENS 5: Your San Antonio News Source,"Starbucks may raise prices, again",253,1 year,The coffee giant has increased prices twice since October.,2024-01-26 19:31:42.544350
/shorts/ywNdJMuNMlI,/@user-cw4gm7om8g,Madonna7892,How to make an ice coffee Starbucks's secret 🤯🤫,1.2M,2 years,tictok video.,2024-01-26 19:31:42.547023
